order_item_id	meta_key	meta_value
328	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
328	_line_total	295
328	_product_id	3130
328	_qty	1
328	_reduced_stock	1
328	_tax_class	
328	_variation_id	0
329	cost	90.00
329	instance_id	4
329	Items	USB 5V to 12v Cable Step Up Voltage Converter Output jack 5.5x2.1mm &times; 1
329	method_id	flat_rate
329	taxes	a:1:{s:5:"total";a:0:{}}
329	total_tax	0
330	_line_subtotal	145
330	_line_subtotal_tax	0
330	_line_tax	0
330	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
330	_line_total	145
330	_product_id	1757
330	_qty	1
330	_reduced_stock	1
330	_tax_class	
330	_variation_id	1827
330	length	Mixed
331	cost	90.00
331	instance_id	4
331	Items	Plastic Needle Large Eye 5 Nos for Wool Sewing Embroidery Tapestry Cross Darning Stitchery Craft Choose length - Mixed &times; 1
331	method_id	flat_rate
331	taxes	a:1:{s:5:"total";a:0:{}}
331	total_tax	0
332	_line_subtotal	295
332	_line_subtotal_tax	0
332	_line_tax	0
332	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
332	_line_total	295
332	_product_id	3130
332	_qty	1
332	_reduced_stock	1
332	_tax_class	
332	_variation_id	0
333	_line_subtotal	495
333	_line_subtotal_tax	0
333	_line_tax	0
333	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
333	_line_total	345
333	_product_id	3382
333	_qty	1
333	_reduced_stock	1
333	_tax_class	
333	_variation_id	0
334	_fee_amount	-35.5
334	_last_added_fee	Discount for Direct Payment 5%
334	_line_tax	0
334	_line_tax_data	a:1:{s:5:"total";a:0:{}}
334	_line_total	-35.5
334	_tax_class	0
334	_tax_status	taxable
335	cost	70.00
335	instance_id	7
335	Items	USB 5V to 12v Cable Step Up Voltage Converter Output jack 5.5x2.1mm &times; 1, USB 5V to 9V or 12v Cable Step Up Voltage Converter with LED Display Output jack 5.5x2.1mm &times; 1
335	method_id	flat_rate
335	taxes	a:1:{s:5:"total";a:0:{}}
335	total_tax	0
336	coupon_data	a:24:{s:2:"id";i:4063;s:4:"code";s:8:"jruyqw8x";s:6:"amount";s:3:"150";s:12:"date_created";O:11:"WC_DateTime":4:{s:13:"\0*\0utc_offset";i:0;s:4:"date";s:26:"2021-05-24 11:18:17.000000";s:13:"timezone_type";i:3;s:8:"timezone";s:12:"Asia/Kolkata";}s:13:"date_modified";O:11:"WC_DateTime":4:{s:13:"\0*\0utc_offset";i:0;s:4:"date";s:26:"2021-06-02 11:51:55.000000";s:13:"timezone_type";i:3;s:8:"timezone";s:12:"Asia/Kolkata";}s:12:"date_expires";O:11:"WC_DateTime":4:{s:13:"\0*\0utc_offset";i:0;s:4:"date";s:26:"2021-06-30 00:00:00.000000";s:13:"timezone_type";i:3;s:8:"timezone";s:12:"Asia/Kolkata";}s:13:"discount_type";s:13:"fixed_product";s:11:"description";s:35:"Discount coupon. Use by 31 May 2021";s:11:"usage_count";i:2;s:14:"individual_use";b:0;s:11:"product_ids";a:1:{i:0;i:3382;}s:20:"excluded_product_ids";a:0:{}s:11:"usage_limit";i:0;s:20:"usage_limit_per_user";i:1;s:22:"limit_usage_to_x_items";i:1;s:13:"free_shipping";b:0;s:18:"product_categories";a:0:{}s:27:"excluded_product_categories";a:0:{}s:18:"exclude_sale_items";b:0;s:14:"minimum_amount";s:0:"";s:14:"maximum_amount";s:0:"";s:18:"email_restrictions";a:0:{}s:7:"virtual";b:0;s:9:"meta_data";a:1:{i:0;O:12:"WC_Meta_Data":2:{s:15:"\0*\0current_data";a:3:{s:2:"id";i:49133;s:3:"key";s:32:"_maybe_used_by_1622967322_xa3gE8";s:5:"value";s:2:"28";}s:7:"\0*\0data";a:3:{s:2:"id";i:49133;s:3:"key";s:32:"_maybe_used_by_1622967322_xa3gE8";s:5:"value";s:2:"28";}}}}
336	discount_amount	150
336	discount_amount_tax	0
340	_line_subtotal	495
340	_line_subtotal_tax	0
340	_line_tax	0
340	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
340	_line_total	495
340	_product_id	3382
340	_qty	1
340	_reduced_stock	1
340	_tax_class	
340	_variation_id	0
341	_fee_amount	-29.25
341	_last_added_fee	Discount for Direct Payment 5%
341	_line_tax	0
341	_line_tax_data	a:1:{s:5:"total";a:0:{}}
341	_line_total	-29.25
341	_tax_class	0
341	_tax_status	taxable
342	cost	90.00
342	instance_id	4
342	Items	USB 5V to 9V or 12v Cable Step Up Voltage Converter with LED Display Output jack 5.5x2.1mm &times; 1
342	method_id	flat_rate
342	taxes	a:1:{s:5:"total";a:0:{}}
342	total_tax	0
343	_line_subtotal	495
343	_line_subtotal_tax	0
343	_line_tax	0
343	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
343	_line_total	495
343	_product_id	3382
343	_qty	1
343	_reduced_stock	1
343	_tax_class	
343	_variation_id	0
344	_fee_amount	-29.25
344	_last_added_fee	Discount for Direct Payment 5%
344	_line_tax	0
344	_line_tax_data	a:1:{s:5:"total";a:0:{}}
344	_line_total	-29.25
344	_tax_class	0
344	_tax_status	taxable
345	cost	90.00
345	instance_id	4
345	Items	USB 5V to 9V or 12v Cable Step Up Voltage Converter with LED Display Output jack 5.5x2.1mm &times; 1
345	method_id	flat_rate
345	taxes	a:1:{s:5:"total";a:0:{}}
345	total_tax	0
350	_line_subtotal	295
350	_line_subtotal_tax	0
350	_line_tax	0
350	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
350	_line_total	295
350	_product_id	3130
350	_qty	1
350	_reduced_stock	1
350	_tax_class	
350	_variation_id	0
